Date,Open,High,Low,Close,Adj Close,Volume
2020-10-22,28.000000,29.000000,27.900000,28.799999,28.502789,10834275
2020-10-23,28.950001,29.400000,28.850000,29.100000,28.799694,11960326
2020-10-26,29.299999,30.250000,29.150000,29.450001,29.146084,29967874
2020-10-27,29.500000,30.400000,28.650000,29.650000,29.344019,40575215
2020-10-28,29.549999,29.549999,28.500000,28.650000,28.354338,20260451
2020-10-29,28.299999,28.400000,27.450001,27.799999,27.513109,20793997
2020-10-30,27.850000,28.450001,27.350000,28.000000,27.711046,26886677
2020-11-02,28.250000,28.299999,27.500000,27.850000,27.562595,15607090
2020-11-03,27.950001,28.200001,27.600000,27.950001,27.661562,15116416
2020-11-04,28.000000,28.049999,26.950001,27.200001,26.919304,29425117
2020-11-05,27.500000,29.150000,27.350000,28.400000,28.106918,42148409
2020-11-06,28.549999,28.900000,27.799999,27.950001,27.661562,36124550
2020-11-09,27.650000,28.450001,27.400000,28.200001,27.908983,42337022
2020-11-10,28.200001,28.450001,27.799999,28.200001,27.908983,28467588
2020-11-11,28.200001,29.250000,27.700001,27.950001,27.661562,54098312
2020-11-12,27.950001,28.450001,27.799999,28.100000,27.810015,29213561
2020-11-13,28.049999,28.150000,27.799999,27.950001,27.661562,14725782
2020-11-14,28.250000,28.500000,28.150000,28.299999,28.007950,3771670
2020-11-17,28.400000,28.600000,28.100000,28.250000,27.958466,15666967
2020-11-18,28.299999,28.600000,28.150000,28.450001,28.156404,20946155
2020-11-19,28.400000,30.200001,28.200001,29.150000,28.849178,83753489
2020-11-20,29.400000,29.700001,28.650000,29.200001,28.898664,40480755
2020-11-23,29.600000,31.549999,29.250000,31.350000,31.026476,94909249
2020-11-24,31.700001,31.900000,30.750000,31.350000,31.026476,75427091
2020-11-25,31.450001,31.950001,30.350000,30.650000,30.333700,51698826
2020-11-26,30.900000,31.600000,30.549999,31.450001,31.125444,52388355
2020-11-27,31.650000,33.450001,31.600000,32.849998,32.510994,101747612
2020-12-01,33.299999,34.400002,32.849998,34.049999,33.698612,49680395
2020-12-02,34.250000,34.500000,33.049999,33.799999,33.451191,52877271
2020-12-03,34.250000,34.799999,34.000000,34.200001,33.847065,42090086
2020-12-04,34.549999,35.400002,33.700001,34.250000,33.896549,58177274
2020-12-07,34.400002,35.349998,34.250000,34.950001,34.589325,39793015
2020-12-08,35.299999,36.799999,34.099998,36.150002,35.776943,83272427
2020-12-09,36.950001,37.599998,36.299999,36.599998,36.222294,69007540
2020-12-10,36.450001,36.650002,34.700001,35.650002,35.282101,55059367
2020-12-11,35.750000,37.000000,35.450001,35.950001,35.579006,45233211
2020-12-14,36.450001,37.200001,35.849998,36.849998,36.469715,47189075
2020-12-15,36.849998,36.849998,35.700001,36.349998,35.974876,44611278
2020-12-16,36.650002,36.950001,36.099998,36.349998,35.974876,31631032
2020-12-17,36.450001,36.799999,35.750000,35.849998,35.480038,31094015
2020-12-18,35.900002,36.150002,34.549999,35.849998,35.480038,40500644
2020-12-21,35.500000,35.700001,32.099998,32.549999,32.214092,55099409
2020-12-22,32.650002,33.299999,30.600000,32.650002,32.313061,57170730
2020-12-23,32.700001,34.150002,32.549999,33.950001,33.599644,35851831
2020-12-24,34.299999,34.549999,33.599998,33.799999,33.451191,29009900
2020-12-28,34.000000,35.500000,33.900002,35.250000,34.886230,41052655
2020-12-29,35.500000,35.750000,34.299999,35.400002,35.034679,38681074
2020-12-30,36.099998,36.400002,34.950001,35.400002,35.034679,55267922
2020-12-31,35.400002,36.500000,35.150002,35.900002,35.529522,60457447
2021-01-01,36.150002,39.000000,36.000000,38.700001,38.300629,123660698
2021-01-04,39.299999,40.849998,38.750000,40.650002,40.230503,138885188
2021-01-05,40.250000,40.650002,39.599998,40.150002,39.735664,68178443
2021-01-06,40.349998,40.650002,38.250000,39.400002,38.993401,78478570
2021-01-07,39.799999,40.150002,39.099998,39.299999,38.894432,42199800
2021-01-08,39.650002,40.549999,39.000000,39.349998,38.943916,68394773
2021-01-11,39.750000,40.000000,38.299999,39.000000,38.597530,46504882
2021-01-12,39.000000,40.000000,38.599998,39.349998,38.943916,37860013
2021-01-13,39.650002,42.299999,39.650002,40.750000,40.329468,154573968
2021-01-14,40.400002,40.700001,39.599998,40.200001,39.785145,34995707
2021-01-15,40.200001,40.500000,38.849998,39.400002,38.993401,37081742
2021-01-18,39.400002,39.599998,37.250000,38.049999,37.657333,38159244
2021-01-19,38.099998,40.000000,38.099998,39.750000,39.339790,29092687
2021-01-20,39.700001,40.700001,39.400002,40.500000,40.082047,40633278
2021-01-21,41.000000,41.250000,38.500000,38.750000,38.350109,56574146
2021-01-22,38.500000,39.299999,37.099998,37.650002,37.261463,58968250
2021-01-25,37.750000,38.250000,36.000000,36.250000,35.875908,51673382
2021-01-27,35.849998,36.200001,35.400002,35.700001,35.331585,38751487
2021-01-28,35.349998,36.799999,35.099998,36.599998,36.222294,48537154
2021-01-29,37.000000,37.500000,35.799999,36.049999,35.677971,52158893
